paper_set,section,type,language,question_en,question_ar,option_a_en,option_b_en,option_c_en,option_d_en,correct_answer,marks,stream
B,3,mcq,both,Islamic History Q8: In which year did the Hijra occur?,السؤال الثقافي 8: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q9: In which year did the Hijra occur?,السؤال الثقافي 9: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q10: In which year did the Hijra occur?,السؤال الثقافي 10: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q11: In which year did the Hijra occur?,السؤال الثقافي 11: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q12: In which year did the Hijra occur?,السؤال الثقافي 12: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q13: In which year did the Hijra occur?,السؤال الثقافي 13: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q14: In which year did the Hijra occur?,السؤال الثقافي 14: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q15: In which year did the Hijra occur?,السؤال الثقافي 15: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q16: In which year did the Hijra occur?,السؤال الثقافي 16: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q17: In which year did the Hijra occur?,السؤال الثقافي 17: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q18: In which year did the Hijra occur?,السؤال الثقافي 18: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q19: In which year did the Hijra occur?,السؤال الثقافي 19: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,3,mcq,both,Islamic History Q20: In which year did the Hijra occur?,السؤال الثقافي 20: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
B,4,true_false,en,Logic Statement 1: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 2: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 3: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 4: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 5: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 6: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 7: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 8: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 9: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 10: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 11: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 12: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 13: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 14: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 15: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 16: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 17: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 18: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 19: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,4,true_false,en,Logic Statement 20: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
B,5,descriptive,en,[SCIENCE] Essay Question 1: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,science
B,5,descriptive,en,[GENERAL] Essay Question 2: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,general
B,5,descriptive,en,[HUMANITIES] Essay Question 3: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,humanities
B,5,descriptive,en,[COMMERCE] Essay Question 4: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,commerce
B,5,descriptive,en,[HUMANITIES] Essay Question 5: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,humanities
B,5,descriptive,en,[SCIENCE] Essay Question 6: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,science
B,5,descriptive,en,[GENERAL] Essay Question 7: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,general
B,5,descriptive,en,[GENERAL] Essay Question 8: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,general
B,5,descriptive,en,[SCIENCE] Essay Question 9: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,science
B,5,descriptive,en,[HUMANITIES] Essay Question 10: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,humanities
B,5,descriptive,en,[COMMERCE] Essay Question 11: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,commerce
B,5,descriptive,en,[GENERAL] Essay Question 12: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,general
B,5,descriptive,en,[HUMANITIES] Essay Question 13: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,humanities
B,5,descriptive,en,[HUMANITIES] Essay Question 14: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,humanities
B,5,descriptive,en,[COMMERCE] Essay Question 15: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,commerce
B,5,descriptive,en,[COMMERCE] Essay Question 16: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,commerce
B,5,descriptive,en,[HUMANITIES] Essay Question 17: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,humanities
B,5,descriptive,en,[COMMERCE] Essay Question 18: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,commerce
B,5,descriptive,en,[COMMERCE] Essay Question 19: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,commerce
B,5,descriptive,en,[HUMANITIES] Essay Question 20: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,humanities
